Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
401.83,91.58,8.77,104.92,105.09,269.87,328.76,73.78,32.68,90.47,839.79,58.02,4.07
402.87,93.49,4.27,105,105.09,268.96,326.47,78.28,32.68,93.64,837.13,57.85,4.07
403.91,143.82,4.8,105,105.09,268.83,326.85,77.75,32.68,89.98,837.94,57.91,4.07
404.97,190.78,3.13,105.08,105.13,268.81,331.04,79.43,32.41,91.02,841.42,57.09,4.07
406.01,149.58,10.98,105.11,105.13,268.81,329.9,71.57,32.68,73.78,844.5,57.56,4.07
407.02,77.91,15.55,105.11,105.17,268.81,338.67,67,32.41,94.41,854.96,58.32,4.07
408.04,126.32,13.5,105.19,105.21,268.54,336,69.06,32.41,76.04,857.21,56.91,4.07
409.06,143.82,15.48,105.5,105.21,268.51,337.91,67.07,32.41,79.64,856.6,56.41,4.07
410.08,106,10.75,105.31,105.28,268.51,337.91,71.8,32.68,78.75,859.26,56.09,4.07
411.12,128.95,16.17,105.15,105.32,268.5,342.48,66.39,32.68,81.93,866.24,56.27,4.45
412.14,90.96,2.75,105.15,105.47,270.53,367.64,79.81,32.41,52,908.94,55.56,4.83
413.18,12.75,11.82,106.07,105.59,268.09,393.95,70.73,32.13,70.52,939.07,58.61,4.45
414.2,66.76,13.65,106.3,105.66,267.79,391.28,68.9,32.41,82.99,938.05,58.23,4.45
415.24,81.39,16.7,106.45,105.74,267.79,373.74,65.85,32.41,80.83,904.74,56.88,4.45
416.26,88.74,4.04,105.72,107.8,265.33,364.98,55.64,31.37,77.08,889.78,58.81,4.83
417.3,129.1,12.75,106.03,107.84,265.95,364.21,46.93,31.1,76.4,886.92,60.01,4.83
418.34,155.52,13.27,106.33,107.84,265.99,366.88,46.41,31.37,78.14,892.64,58.67,4.83
419.4,131.58,17.68,106.83,107.88,266,365.74,42,31.1,73.17,888.97,58.23,4.83
420.44,149.76,10.12,107.1,107.88,266,366.12,49.56,31.1,82.96,888.15,59.37,4.83
421.48,170.18,10.54,107.21,107.88,266,368.41,49.14,31.37,78.78,892.45,61.16,5.21
422.52,55.87,10.75,107.48,107.91,265.99,371.46,48.93,31.37,76.74,894.29,60.01,5.21
423.54,65.79,4.72,107.33,107.95,265.38,371.46,54.96,31.65,81.99,894.49,61.04,4.83
424.6,146.76,2.2,107.36,107.91,265.23,371.84,57.48,31.37,81.93,893.07,60.28,4.83
425.62,141.23,6.3,107.4,107.91,265.2,371.46,53.39,31.37,80.86,894.29,59.6,5.21
426.64,136,4.3,107.36,107.95,264.84,372.6,55.38,31.37,82.51,894.09,57.64,5.21
427.66,70.61,5.25,107.67,107.91,265.22,370.31,54.43,31.65,83.79,891.43,56.3,4.83
428.68,136.01,5.14,107.71,107.91,264.93,371.84,54.54,31.37,80.43,891.02,59.4,5.21
429.7,68,5.35,107.71,107.88,264.85,371.84,54.33,31.65,86.05,893.27,58.4,5.21
